Sample.ID,BCL11A,IGF1R,SLC22A5,LFNG,BRCA2,CCND1,MARCH6,SCAMP4,CDK6,PDLIM4,EZH2,PSMD10,TRABD,TEX14,SLC25A1,CDC5L,TSPAN2,RPS6KA5,SNTB1,BRCA1,TMBIM1,MDP-1,ZNF570,FLJ10213,IWS1,ADRA2C,C9orf21,CHCHD1,CEBPE,SFTPD,TTC31,C15orf29,WDR40B,HOXD10,EIF5B,SCMH1,ISLR,FLJ30092,RRM2B,CCDC69,ADCY4,SERPINI2,RAB42,FLJ20489,ADMR,HRH1,MRCL3,ARHGAP29,YTHDC2,CST9L,BRCA_Subtype_PAM50
TCGA-A1-A0SD,-2.9711428571428598,0.2889375,1.85875,2.54625,-0.57075,1.88725,0.4890833333333329,0.5525,-2.6885,0.37799999999999995,-1.7928,1.0245,-0.38799999999999996,0.346375,-1.29183333333333,-0.4125,1.11466666666667,0.7142,0.31675,-1.6610833333333301,-0.1135,0.78975,0.723,-1.10175,-0.3035,-3.0869999999999997,-0.0411666666666667,0.135625,-0.515,1.35675,-0.59125,0.336125,-0.37536363636363596,0.210833333333333,-0.1231,-0.81625,4.26325,-0.272,1.20983333333333,-0.7190000000000001,3.6145,0.1235,-1.31975,-0.107375,0.2685,-0.7505,0.7375,0.79275,-0.021,5.9285,LumA
TCGA-A1-A0SE,0.140214285714286,1.1045,1.3730000000000002,1.31675,-1.3405,1.023,0.0469166666666667,0.5935,-2.4747,0.9755,-1.5652,-0.25225,0.3315,-0.84375,-0.4901666666666671,-0.49125,1.5131666666666699,1.0024,-2.1195,-1.3879166666666698,0.8640000000000001,-0.27699999999999997,0.1945,-1.80975,-0.23,-0.4728333333333329,-0.661333333333333,0.578625,1.067,1.3765,-0.15875,0.61775,0.9520000000000001,1.50933333333333,-0.1058,0.2375,3.3775,-0.6538333333333329,0.0713333333333333,-0.1175,3.61816666666667,-0.3355,-1.6840000000000002,0.518375,-0.016,-0.900333333333333,0.9935,0.78925,0.50725,3.818,LumA
TCGA-A1-A0SH,-0.8132857142857142,-0.2055,0.878,1.30775,-1.541,-0.503333333333333,-0.32591666666666697,0.93225,-2.1441,0.36200000000000004,-2.49486666666667,-0.0695,0.2095,0.105,-0.055,-0.77375,1.5219999999999998,-0.6683,-0.80225,-1.92483333333333,1.04975,-0.494,0.2625,-2.129,-0.5431666666666671,-2.86533333333333,-0.4585,0.47200000000000003,-0.111,1.094,-0.4025,0.468875,0.4943333333333329,0.750166666666667,0.0530999999999999,0.21475,3.43,-0.3583333333333329,0.4883333333333329,-0.26575,3.13833333333333,-0.3785,-1.00575,0.66175,0.365,-0.7155,1.3385,1.066625,-0.510875,0.11800000000000001,LumA
TCGA-A1-A0SJ,-1.24978571428571,0.577875,2.10575,2.227375,-0.40475,1.65758333333333,0.662583333333333,0.58025,-3.0141,-0.873,-2.1365333333333303,0.45875,0.2384,-1.542875,-0.4998333333333329,-0.4185,1.7919999999999998,0.7734,0.8370000000000001,-1.65625,1.19525,0.52225,0.3625,-1.84225,-0.622833333333333,0.691666666666667,0.0523333333333333,0.791625,2.1590000000000003,2.42325,-0.539,0.58575,1.4804166666666698,2.0606666666666698,-0.0841,-0.26875,3.502,-0.40866666666666707,1.5236666666666698,1.161375,4.03783333333333,-0.2315,-1.351,-0.375125,0.3585,-1.24366666666667,0.713,0.660625,0.466,2.15475,LumA
TCGA-A1-A0SK,2.13535714285714,0.7720625,-1.339,1.004875,0.629,-3.6311666666666698,0.5891666666666671,-0.497125,-2.137,-0.787,0.5289333333333329,0.7675,-0.5329,-1.165125,-0.5451666666666671,0.74825,0.891666666666667,1.6909999999999998,-1.732,-0.35825,-0.3065,-1.214,0.6655,-1.9195,0.17766666666666697,-0.3135,-0.0203333333333333,0.091375,0.64,1.4955,0.12075,0.1285,0.00200000000000003,3.36933333333333,0.2624,0.129,2.64325,1.14183333333333,0.824666666666667,-1.09425,3.0233333333333303,0.0675,-1.74275,0.049375,1.0425,-2.18066666666667,-0.561833333333333,-1.8944285714285702,-1.229875,-0.809,Basal
TCGA-A1-A0SO,2.14542857142857,-3.5651875,-0.91375,-0.8355,0.768,-4.07708333333333,-0.799,0.704875,-2.6069,-1.653,-0.426,-0.586,-0.0882,0.392125,-0.3635,0.69175,1.4663333333333302,0.8342,-2.799,-0.136416666666667,-0.350375,0.27325,1.9140000000000001,-1.55075,0.028999999999999998,-2.5513333333333303,-0.23383333333333303,0.82875,0.293,1.88575,-0.1215,0.34,-0.0516363636363636,0.116166666666667,0.4458,1.07875,2.98075,0.0513333333333333,0.00883333333333333,-0.725625,3.00366666666667,0.2105,-2.0655,0.1605,0.6635,-2.66016666666667,0.598666666666667,-1.889125,-0.337625,-1.15425,Basal
TCGA-A1-A0SP,2.086,-0.6579375,-1.16175,1.619625,-0.033,1.57025,0.0815833333333333,-0.02175,0.2122,-1.34725,-0.578933333333333,-0.63575,0.2274,-1.011,-1.20733333333333,-0.418,1.01883333333333,-0.5920000000000001,-0.4245,-0.70975,-0.84825,-1.014,0.2965,-1.032,-0.26233333333333303,-2.873,-0.45299999999999996,-0.453625,1.567,1.8359999999999999,-0.8325,0.0733749999999999,0.574545454545454,0.382,0.0257,-0.65575,3.2710000000000004,-0.643333333333333,-0.4595,-0.050125,3.1635,0.0005,0.41625,-0.44799999999999995,0.392,-0.3555,0.884166666666667,-0.981375,0.00237499999999996,-0.662,Basal
TCGA-A2-A04N,-1.93192857142857,0.4165,2.1115,1.336875,-1.0525,-1.03633333333333,0.00816666666666665,0.143125,-2.1939,-0.16925,-1.16446666666667,0.134,-1.8637,0.6,-1.7083333333333302,0.163,1.3575,1.0656,-0.93925,-1.3965833333333302,-1.03725,-0.174,0.3635,-0.47325,-0.1225,-1.7661666666666698,-0.147,0.84925,-1.1535,1.6969999999999998,-0.7025,0.655625,0.30258333333333304,1.4176666666666697,0.3078,-0.84425,3.76575,0.264,2.0008333333333304,-0.5579999999999999,3.61566666666667,0.2335,-1.53075,-0.008625,0.475,0.342833333333333,1.5413333333333301,1.6125,0.833625,3.86925,LumA
TCGA-A2-A04P,2.8237142857142903,-2.05225,-0.10075,0.749625,1.54975,-2.79958333333333,0.4816666666666671,0.997625,-1.2348,-0.6085,-0.894266666666667,-1.85725,1.2455,-0.899,-0.12716666666666698,-0.09975,0.7559999999999999,0.5302,0.52475,-3.127,-0.853625,-0.92725,0.3575,0.1145,-0.143166666666667,-2.3995,0.11183333333333301,-0.04775,1.3659999999999999,0.615,-0.7909999999999999,-0.58625,0.4291666666666671,-0.3916666666666671,0.3751,0.69325,4.42775,-0.4161666666666671,-0.563666666666667,-0.726875,4.287,-0.0965,-0.95375,0.22775,0.308,-0.551166666666667,0.290833333333333,-0.19399999999999998,0.49975,-1.2245,Basal
TCGA-A2-A04Q,1.87885714285714,-1.67825,0.01775,1.091,-0.379,-0.4600833333333329,-0.29066666666666696,0.557375,-0.3566,-0.4745,-0.9981333333333342,-1.3015,0.7772,-1.21171428571429,-1.13733333333333,-0.418,0.4923333333333329,1.1162,0.74775,-1.30033333333333,0.22699999999999998,-1.5675,0.5005,-0.50375,-0.016,-2.58683333333333,-0.32533333333333303,0.361125,1.7315,1.0695,-0.6365,0.08525,0.4047,1.30033333333333,0.3015,-0.10300000000000001,3.9655,-0.0965,0.8785,0.820125,3.6885,-0.486,-0.63625,-0.30825,0.054000000000000006,-0.082,0.9165,-0.29125,0.93875,-1.141,Basal
